Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Training Stress ScoreÂ®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp
Elliptical,1/13/2020 15:11,FALSE,Elliptical,0,666,1:00:10,141,165,3.7,79,138,--,--,--,--,0,0,0,--,0,0,0,1:00:10,0:00,78.8,0:00,No,00:00.0,1,0,--,--,--
Running,1/11/2020 7:26,FALSE,San Diego Running,11.02,"1,121",1:40:34,144,165,4,170,178,9:08,8:17,194,167,1.04,0,0,--,0,0,0,1:40:34,0:00,51.8,0:00,No,00:07.9,12,0,--,--,--
Elliptical,1/10/2020 16:09,FALSE,Elliptical,0,345,0:32:11,134,157,2.8,60,128,--,--,--,--,0,0,0,--,0,0,0,32:11:00,0:00,77,0:00,No,00:00.0,1,0,--,--,--
Elliptical,1/9/2020 15:07,FALSE,Elliptical,0,409,0:42:06,130,154,2.7,10,123,--,--,--,--,0,0,0,--,0,0,0,42:06:00,0:00,78.8,0:00,No,00:00.0,1,0,--,--,--
Treadmill Running,1/8/2020 15:54,FALSE,Treadmill Running,6.81,773,1:00:25,151,173,4.1,167,190,8:52,5:57,--,--,1.09,0,0,--,0,0,0,1:00:25,0:00,77,0:00,No,07:01.6,7,0,--,--,--
Treadmill Running,1/7/2020 16:42,FALSE,Treadmill Running,0.69,215,0:32:04,109,153,1.2,62,150,46:34:00,9:53,--,--,0.56,0,0,--,0,0,0,32:04:00,0:00,78.8,0:00,No,00:00.0,1,0,--,--,--
Elliptical,1/6/2020 16:39,FALSE,Elliptical,0,328,0:32:21,131,154,2.7,33,127,--,--,--,--,0,0,0,--,0,0,0,32:21:00,0:00,80.6,0:00,No,00:00.0,1,0,--,--,--
Running,1/4/2020 8:13,FALSE,San Diego Running,5.04,524,0:48:08,136,155,3,172,188,9:33,8:10,259,266,0.98,0,0,--,0,0,0,48:08:00,0:00,60.8,0:00,No,00:22.3,6,0,--,--,--
Running,1/1/2020 15:22,FALSE,Chula Vista Running,5.33,700,2:21:33,91,124,1.2,87,152,26:32:00,6:36,"1,122","1,066",0.7,0,0,--,0,0,0,2:21:33,0:00,59,0:00,No,00:07.1,8,0,--,--,--
Elliptical,12/30/2019 15:40,FALSE,Elliptical,0,724,1:31:36,126,164,3,27,158,--,--,--,--,0,0,0,--,0,0,0,1:31:36,0:00,78.8,0:00,No,00:00.0,1,0,--,--,--
Treadmill Running,12/28/2019 10:32,FALSE,Treadmill Running,6.73,723,1:00:19,146,164,3.9,166,170,8:58,7:34,--,--,1.08,0,0,--,0,0,0,1:00:19,0:00,80.6,0:00,No,06:48.6,7,0,--,--,--
Elliptical,12/26/2019 12:21,FALSE,Elliptical,0,463,0:50:07,128,156,2.5,--,122,--,--,--,--,0,0,0,--,0,0,0,50:07:00,0:00,75.2,0:00,No,00:00.0,1,0,--,--,--
Running,12/25/2019 11:49,FALSE,Santee Running,10.01,969,1:26:01,146,170,4,171,184,8:35,6:36,338,312,1.09,0,0,--,0,0,0,1:26:01,0:00,60.8,0:00,No,00:06.7,11,0,--,--,--
